Country,City,Latitude,Longitude,Temperature,Humidity %,Wind Speed,Cloudiness %
RU,gorshechnoye,51.52,38.03,31.72,91,8.72,92
BR,cidreira,-30.17,-50.22,78.34,62,11.74,8
RU,saskylakh,71.97,114.09,-16.79,48,2.91,56
GL,nuuk,64.17,-51.74,32,100,4.7,92
AR,la primavera,-32.92,-68.67,73.4,25,5.82,0
RU,novopokrovka,45.85,134.51,29.56,87,4.14,56
US,fairbanks,64.84,-147.72,50,56,4.7,1
AR,libertador general san martin,-23.81,-64.79,74.02,78,3.13,20
UY,rocha,-34.48,-54.34,65.83,60,18.01,32
US,merrill,42.03,-121.6,51.01,39,9.17,40
CA,havre-saint-pierre,50.23,-63.6,24.8,38,24.16,20
AU,hervey bay,-25.3,152.85,84.99,94,5.14,76
IN,lakhimpur,27.24,94.1,62.77,80,7.49,8
,dahuk,,,,,,
RU,cherskiy,68.75,161.3,-11.75,37,4.14,0
MR,podor,16.65,-14.96,79.87,30,11.97,36
GR,saint george,39.45,22.34,53.01,81,2.13,0
CA,mackay,53.65,-115.58,41,75,11.41,90
RU,pizhanka,57.46,48.54,29.83,94,10.4,76
,tsihombe,,,,,,
NA,henties bay,-22.12,14.28,63,87,3,80
CA,iqaluit,63.75,-68.52,5,60,8.05,75
CO,murindo,6.98,-76.75,83.65,82,3.24,44
CO,la palma,5.36,-74.39,73.84,88,2.57,56
JP,fukue,35.03,136.69,39.99,74,9.17,40
GY,georgetown,6.8,-58.16,84.2,70,13.87,20
ZA,kruisfontein,-34,24.73,66.28,88,13.2,100
PG,vanimo,-2.67,141.3,78.52,100,12.3,48
MN,baruun-urt,46.68,113.28,17.68,64,7.72,0
US,kinston,35.26,-77.58,71.6,15,13.87,1
RU,povenets,62.85,34.83,25.24,75,7.83,0
US,lompoc,34.64,-120.46,68,59,10.29,20
MV,ugoofaaru,5.67,73,83.56,100,11.3,0
,asfi,,,,,,
JP,katsuura,33.93,134.5,39.2,80,9.17,75
FI,tornio,61.12,27.27,30.2,68,3.36,0
BS,marsh harbour,26.54,-77.06,73.84,100,15.66,76
RU,koslan,63.46,48.9,32.98,84,8.39,88
RU,lavrentiya,65.58,-170.99,31.81,99,21.03,92
RU,zheleznodorozhnyy,55.75,38,35.01,88,6.71,40
